Vehicle Type,Brand,Model,Year,Range (km),Top Speed (km/h)
Scooter,Bajaj,Chetak,2019,224,118
Scooter,Ather,450X,2022,107,174
Scooter,TVS,iQube,2023,393,132
Scooter,Hero Electric,Optima,2021,109,81
Car,Hyundai,Kona Electric,2021,478,167
Bike,Revolt Motors,RV400,2020,457,117
Scooter,Ola Electric,S1 Pro,2021,202,129
Car,Hyundai,Kona Electric,2022,310,108
Bike,Oben Electric,Rorr,2019,182,163
Bike,Tork Motors,Kratos,2023,124,91
Car,Tata Motors,Nexon EV,2023,419,79
Bike,Ultraviolette,F77,2019,500,127
Bike,Oben Electric,Rorr,2020,366,108
Car,Hyundai,Kona Electric,2019,361,87
Car,Mahindra,eVerito,2022,325,165
Bike,PURE EV,eTryst 350,2019,203,100
Bike,Ultraviolette,F77,2021,153,76
Bike,PURE EV,eTryst 350,2020,336,112
Scooter,Hero Electric,Optima,2022,312,86
Car,Mahindra,eVerito,2019,291,134
Scooter,Hero Electric,Optima,2023,280,141
Scooter,Ather,450X,2021,448,100
Scooter,TVS,iQube,2021,233,120
Car,MG,ZS EV,2019,459,127
Car,Tata Motors,Nexon EV,2019,389,142
Car,Hyundai,Kona Electric,2020,173,90
Bike,Revolt Motors,RV400,2022,390,166
Scooter,Hero Electric,Optima,2023,211,160
Scooter,Ather,450X,2019,158,130
Car,BYD,Atto 3,2020,89,78
Bike,Ultraviolette,F77,2022,314,175
Scooter,Hero Electric,Optima,2023,212,66
Car,Mahindra,eVerito,2023,247,165
Car,BYD,Atto 3,2022,313,124
Bike,Revolt Motors,RV400,2019,297,127
Scooter,TVS,iQube,2019,234,141
Car,Hyundai,Kona Electric,2022,336,162
Car,Tata Motors,Nexon EV,2020,435,155
Scooter,TVS,iQube,2022,421,74
Scooter,Ather,450X,2019,479,68
Scooter,Ather,450X,2019,373,109
Scooter,Bajaj,Chetak,2020,181,175
Bike,Tork Motors,Kratos,2019,410,123
Scooter,Ather,450X,2023,301,148
Bike,Revolt Motors,RV400,2023,291,163
Bike,Ultraviolette,F77,2020,268,83
Scooter,Hero Electric,Optima,2021,184,98
Bike,PURE EV,eTryst 350,2022,295,119
Bike,Ultraviolette,F77,2021,454,89
Car,MG,ZS EV,2023,106,90
Scooter,Bajaj,Chetak,2023,239,166
Car,MG,ZS EV,2020,352,91
Scooter,Hero Electric,Optima,2020,437,69
Bike,Tork Motors,Kratos,2023,492,164
Scooter,Bajaj,Chetak,2023,396,96
Bike,Revolt Motors,RV400,2023,162,120
Scooter,Bajaj,Chetak,2023,367,62
Scooter,Hero Electric,Optima,2023,428,149
Car,BYD,Atto 3,2023,362,98
Car,MG,ZS EV,2022,487,69
Scooter,Bajaj,Chetak,2019,106,143
Scooter,Hero Electric,Optima,2020,212,144
Scooter,TVS,iQube,2022,180,70
Car,Mahindra,eVerito,2021,360,99
Scooter,TVS,iQube,2022,401,132
Bike,Ultraviolette,F77,2022,206,157
Scooter,Hero Electric,Optima,2023,423,128
Car,MG,ZS EV,2020,363,175
Car,Hyundai,Kona Electric,2021,288,175
Car,Tata Motors,Nexon EV,2020,482,125
Car,BYD,Atto 3,2021,285,153
Bike,Tork Motors,Kratos,2023,261,141
Car,BYD,Atto 3,2020,351,169
Car,Tata Motors,Nexon EV,2022,134,163
Bike,PURE EV,eTryst 350,2019,242,80
Bike,PURE EV,eTryst 350,2020,171,120
Car,Hyundai,Kona Electric,2022,423,105
Bike,Ultraviolette,F77,2023,388,175
Car,Tata Motors,Nexon EV,2023,238,156
Car,Mahindra,eVerito,2020,445,87
Bike,PURE EV,eTryst 350,2019,212,90
Scooter,TVS,iQube,2020,377,172
Scooter,Ather,450X,2020,403,94
Car,Hyundai,Kona Electric,2020,169,127
Bike,Ultraviolette,F77,2019,133,76
Scooter,Bajaj,Chetak,2023,104,103
Car,Tata Motors,Nexon EV,2019,309,78
Bike,Revolt Motors,RV400,2021,235,162
Scooter,Hero Electric,Optima,2022,389,86
Car,Hyundai,Kona Electric,2021,332,85
Car,BYD,Atto 3,2019,136,156
Car,Tata Motors,Nexon EV,2022,479,81
Car,MG,ZS EV,2022,177,78
Scooter,Hero Electric,Optima,2021,453,62
Car,Mahindra,eVerito,2021,173,66
Scooter,Ola Electric,S1 Pro,2021,135,82
Bike,Oben Electric,Rorr,2019,417,142
Bike,Oben Electric,Rorr,2020,85,133
Bike,Revolt Motors,RV400,2020,124,144
Scooter,Bajaj,Chetak,2019,389,153
Car,BYD,Atto 3,2020,95,99
Bike,PURE EV,eTryst 350,2023,309,134
Car,MG,ZS EV,2021,443,131
Scooter,TVS,iQube,2023,415,84
Bike,Revolt Motors,RV400,2023,463,169
Scooter,Hero Electric,Optima,2022,181,87
Bike,Revolt Motors,RV400,2022,201,65
Car,Tata Motors,Nexon EV,2020,260,95
Scooter,TVS,iQube,2020,184,114
Bike,PURE EV,eTryst 350,2023,210,90
Car,Tata Motors,Nexon EV,2022,352,70
Car,MG,ZS EV,2019,487,169
Scooter,Hero Electric,Optima,2019,291,135
Scooter,Ola Electric,S1 Pro,2019,411,166
Car,Hyundai,Kona Electric,2021,298,150
Car,Mahindra,eVerito,2020,461,164
Scooter,TVS,iQube,2023,323,132
Car,Hyundai,Kona Electric,2021,489,129
Scooter,Ola Electric,S1 Pro,2022,97,72
Scooter,TVS,iQube,2021,361,118
Scooter,Hero Electric,Optima,2023,426,126
Scooter,TVS,iQube,2020,287,107
Car,Mahindra,eVerito,2020,180,112
Scooter,Ola Electric,S1 Pro,2021,128,148
Car,BYD,Atto 3,2020,113,60
Car,Hyundai,Kona Electric,2022,254,80
Scooter,Ather,450X,2020,85,102
Car,Mahindra,eVerito,2022,411,133
Scooter,Bajaj,Chetak,2020,496,78
Bike,PURE EV,eTryst 350,2023,117,151
Car,Hyundai,Kona Electric,2019,334,91
Car,Tata Motors,Nexon EV,2023,343,142
Scooter,Hero Electric,Optima,2020,219,179
Scooter,Ather,450X,2019,349,99
Car,BYD,Atto 3,2023,318,165
Bike,PURE EV,eTryst 350,2022,196,123
Bike,PURE EV,eTryst 350,2022,361,166
Scooter,Ather,450X,2021,439,172
Scooter,Ather,450X,2019,419,127
Bike,Ultraviolette,F77,2023,388,147
Bike,Tork Motors,Kratos,2021,271,146
Scooter,Bajaj,Chetak,2021,446,86
Scooter,TVS,iQube,2023,176,127
Bike,Tork Motors,Kratos,2023,402,70
Scooter,TVS,iQube,2020,100,134
Bike,Revolt Motors,RV400,2022,215,91
Bike,Tork Motors,Kratos,2019,264,112
Scooter,TVS,iQube,2021,382,111
Scooter,Ola Electric,S1 Pro,2019,269,172
Bike,Revolt Motors,RV400,2023,494,64
Bike,Oben Electric,Rorr,2020,201,72
Scooter,Hero Electric,Optima,2022,367,69
Bike,Revolt Motors,RV400,2019,253,70
Bike,Tork Motors,Kratos,2019,113,80
Bike,Oben Electric,Rorr,2019,407,143
Bike,Revolt Motors,RV400,2023,122,165
Bike,Tork Motors,Kratos,2019,235,170
Bike,Revolt Motors,RV400,2022,306,112
Scooter,Ather,450X,2019,459,80
Bike,PURE EV,eTryst 350,2022,96,180
Bike,Revolt Motors,RV400,2022,364,101
Bike,Ultraviolette,F77,2023,421,166
Car,BYD,Atto 3,2021,430,153
Car,Tata Motors,Nexon EV,2021,301,144
Car,Mahindra,eVerito,2023,446,145
Scooter,Bajaj,Chetak,2022,368,103
Car,BYD,Atto 3,2020,100,161
Car,Tata Motors,Nexon EV,2023,291,64
Car,Hyundai,Kona Electric,2022,391,157
Bike,Ultraviolette,F77,2022,237,134
Scooter,Ather,450X,2019,261,63
Car,MG,ZS EV,2019,81,135
Car,Mahindra,eVerito,2021,142,114
Bike,Revolt Motors,RV400,2023,107,67
Scooter,Bajaj,Chetak,2019,201,82
Bike,Tork Motors,Kratos,2019,300,139
Scooter,Ather,450X,2023,236,79
Bike,Revolt Motors,RV400,2020,328,133
Scooter,Hero Electric,Optima,2023,140,121
Car,Mahindra,eVerito,2023,330,131
Scooter,Ola Electric,S1 Pro,2022,398,85
Car,Hyundai,Kona Electric,2022,487,68
Scooter,Hero Electric,Optima,2023,391,164
Bike,PURE EV,eTryst 350,2022,185,98
Bike,PURE EV,eTryst 350,2019,378,145
Car,Hyundai,Kona Electric,2023,122,143
Scooter,Ather,450X,2023,232,149
Scooter,Hero Electric,Optima,2023,380,68
Car,Tata Motors,Nexon EV,2023,290,164
Scooter,TVS,iQube,2020,345,68
Scooter,Hero Electric,Optima,2022,355,115
Scooter,TVS,iQube,2021,207,157
Car,BYD,Atto 3,2023,422,113
Scooter,TVS,iQube,2021,345,68
Scooter,Ather,450X,2019,352,167
Bike,Ultraviolette,F77,2023,255,60
Bike,PURE EV,eTryst 350,2020,466,168
Bike,Oben Electric,Rorr,2019,88,68
Scooter,TVS,iQube,2019,345,170
Car,BYD,Atto 3,2019,286,113
Scooter,Hero Electric,Optima,2019,134,65
Car,MG,ZS EV,2021,338,103
Car,Hyundai,Kona Electric,2022,402,111
Bike,Revolt Motors,RV400,2021,92,173
Bike,Oben Electric,Rorr,2019,307,135
Bike,Ultraviolette,F77,2020,113,118
Scooter,Ola Electric,S1 Pro,2019,350,162
Car,BYD,Atto 3,2019,472,138
Scooter,Ola Electric,S1 Pro,2020,375,116
Car,Hyundai,Kona Electric,2022,426,154
Car,BYD,Atto 3,2020,397,130
Car,MG,ZS EV,2021,406,86
Bike,Oben Electric,Rorr,2020,469,161
Car,MG,ZS EV,2021,453,113
Car,Mahindra,eVerito,2021,273,175
Bike,PURE EV,eTryst 350,2020,406,115
Car,Hyundai,Kona Electric,2019,392,139
Bike,PURE EV,eTryst 350,2019,82,112
Scooter,Hero Electric,Optima,2019,395,161
Bike,PURE EV,eTryst 350,2020,124,111
Scooter,Ola Electric,S1 Pro,2022,440,131
Bike,Oben Electric,Rorr,2022,116,159
Scooter,Bajaj,Chetak,2019,342,64
Bike,PURE EV,eTryst 350,2020,281,111
Bike,Tork Motors,Kratos,2020,183,60
Bike,Ultraviolette,F77,2021,436,82
Scooter,Hero Electric,Optima,2019,223,157
Bike,PURE EV,eTryst 350,2019,492,93
Bike,Ultraviolette,F77,2020,384,125
Scooter,Ather,450X,2019,240,146
Car,MG,ZS EV,2019,335,158
Car,BYD,Atto 3,2020,403,85
Car,Mahindra,eVerito,2022,167,106
Scooter,Bajaj,Chetak,2023,345,159
Scooter,Ather,450X,2023,247,144
Scooter,Bajaj,Chetak,2022,259,70
Bike,Oben Electric,Rorr,2023,411,72
Bike,Revolt Motors,RV400,2020,418,110
Car,BYD,Atto 3,2020,465,150
Scooter,TVS,iQube,2022,294,104
Car,Mahindra,eVerito,2020,293,74
Scooter,Hero Electric,Optima,2019,90,72
Bike,Oben Electric,Rorr,2023,116,168
Scooter,Hero Electric,Optima,2023,499,129
Scooter,Bajaj,Chetak,2019,333,95
Bike,PURE EV,eTryst 350,2023,125,116
Bike,Ultraviolette,F77,2023,195,126
Car,Mahindra,eVerito,2019,300,61
Bike,Tork Motors,Kratos,2020,135,138
Car,Hyundai,Kona Electric,2023,149,133
Scooter,Ather,450X,2021,112,165
Bike,Revolt Motors,RV400,2022,195,73
Car,MG,ZS EV,2023,318,173
Bike,Ultraviolette,F77,2020,201,79
Car,MG,ZS EV,2022,384,77
Scooter,Ather,450X,2020,118,145
Bike,Tork Motors,Kratos,2021,421,88
Bike,Ultraviolette,F77,2021,352,156
Scooter,Ather,450X,2021,91,139
Bike,Tork Motors,Kratos,2019,446,91
Bike,Oben Electric,Rorr,2020,346,144
Scooter,Hero Electric,Optima,2020,302,170
Scooter,Ola Electric,S1 Pro,2022,487,86
Car,BYD,Atto 3,2019,140,171
Scooter,TVS,iQube,2021,91,98
Car,Mahindra,eVerito,2020,355,86
Bike,Oben Electric,Rorr,2020,447,67
Scooter,Ola Electric,S1 Pro,2022,329,161
Bike,Oben Electric,Rorr,2020,344,136
Car,Tata Motors,Nexon EV,2019,86,71
Bike,Tork Motors,Kratos,2020,333,164
Scooter,Bajaj,Chetak,2020,136,162
Scooter,Bajaj,Chetak,2020,454,148
Scooter,Hero Electric,Optima,2021,203,154
Car,Hyundai,Kona Electric,2021,250,143
Car,Tata Motors,Nexon EV,2019,395,119
Scooter,Bajaj,Chetak,2022,182,176
Car,Hyundai,Kona Electric,2022,448,169
Bike,Oben Electric,Rorr,2020,295,147
Bike,Tork Motors,Kratos,2021,140,86
Bike,Oben Electric,Rorr,2021,328,69
Car,BYD,Atto 3,2021,350,177
Car,Tata Motors,Nexon EV,2019,482,172
Car,Hyundai,Kona Electric,2020,466,174
Car,Tata Motors,Nexon EV,2021,377,68
Scooter,Ola Electric,S1 Pro,2022,388,92
Scooter,Bajaj,Chetak,2023,272,178
Bike,Tork Motors,Kratos,2022,379,164
Scooter,Hero Electric,Optima,2022,112,120
Bike,Tork Motors,Kratos,2021,129,142
Scooter,Hero Electric,Optima,2023,141,160
Car,Hyundai,Kona Electric,2022,174,178
Car,Mahindra,eVerito,2022,475,154
Bike,Ultraviolette,F77,2020,457,115
Bike,Tork Motors,Kratos,2023,412,110
Scooter,TVS,iQube,2022,253,154
Car,BYD,Atto 3,2019,452,98
Bike,Oben Electric,Rorr,2019,325,89
Car,Tata Motors,Nexon EV,2019,111,65
Scooter,Ola Electric,S1 Pro,2021,465,66
Bike,PURE EV,eTryst 350,2022,379,138
Bike,Tork Motors,Kratos,2019,423,118
Car,Tata Motors,Nexon EV,2022,77,64
Scooter,Bajaj,Chetak,2019,390,161
Bike,PURE EV,eTryst 350,2022,432,68
Scooter,Ather,450X,2022,456,164
Car,Mahindra,eVerito,2020,213,121
Car,MG,ZS EV,2019,290,178
Bike,PURE EV,eTryst 350,2022,107,88
Scooter,TVS,iQube,2022,418,168
Car,Tata Motors,Nexon EV,2019,421,125
Bike,Ultraviolette,F77,2023,440,81
Scooter,Hero Electric,Optima,2019,132,170
Scooter,Hero Electric,Optima,2022,241,122
Car,BYD,Atto 3,2023,93,115
Bike,PURE EV,eTryst 350,2023,188,172
Scooter,Ather,450X,2022,320,177
Scooter,TVS,iQube,2020,325,108
Car,Hyundai,Kona Electric,2020,197,169
Bike,Ultraviolette,F77,2019,77,174
Bike,Oben Electric,Rorr,2022,311,87
Car,Tata Motors,Nexon EV,2020,251,138
Scooter,Hero Electric,Optima,2019,155,114
Car,BYD,Atto 3,2020,156,98
Car,BYD,Atto 3,2021,432,162
Scooter,TVS,iQube,2022,238,100
Scooter,Ola Electric,S1 Pro,2021,349,112
Car,Mahindra,eVerito,2019,82,65
Scooter,Ather,450X,2021,497,108
Scooter,Ola Electric,S1 Pro,2019,373,87
Bike,PURE EV,eTryst 350,2019,168,175
Bike,Tork Motors,Kratos,2019,418,69
Scooter,Bajaj,Chetak,2019,315,109
Car,Tata Motors,Nexon EV,2019,205,110
Car,Mahindra,eVerito,2022,350,107
Scooter,Ola Electric,S1 Pro,2021,139,118
Car,Mahindra,eVerito,2021,446,85
Car,BYD,Atto 3,2023,486,178
Bike,Oben Electric,Rorr,2021,142,174
Bike,Oben Electric,Rorr,2019,251,117
Scooter,Ather,450X,2022,279,164
Bike,Oben Electric,Rorr,2019,193,143
Car,Hyundai,Kona Electric,2019,228,98
Bike,Tork Motors,Kratos,2019,405,73
Bike,Ultraviolette,F77,2021,128,103
Bike,PURE EV,eTryst 350,2019,296,139
Bike,PURE EV,eTryst 350,2021,465,118
Scooter,Hero Electric,Optima,2021,247,118
Bike,Tork Motors,Kratos,2023,298,162
Scooter,Ola Electric,S1 Pro,2021,121,98
Scooter,TVS,iQube,2021,371,70
Car,BYD,Atto 3,2022,413,75
Scooter,Ather,450X,2023,286,151
Bike,PURE EV,eTryst 350,2020,396,92
Scooter,TVS,iQube,2021,316,84
Car,BYD,Atto 3,2022,152,79
Scooter,Ather,450X,2020,423,68
Car,BYD,Atto 3,2020,131,120
Scooter,TVS,iQube,2022,96,165
Scooter,Ather,450X,2022,230,130
Bike,Ultraviolette,F77,2019,135,109
Scooter,Ola Electric,S1 Pro,2023,252,134
Car,BYD,Atto 3,2021,246,62
Scooter,Ather,450X,2023,270,97
Car,BYD,Atto 3,2021,476,141
Scooter,Hero Electric,Optima,2019,434,134
Car,BYD,Atto 3,2022,321,146
Bike,PURE EV,eTryst 350,2022,208,153
Bike,PURE EV,eTryst 350,2021,356,70
Scooter,Hero Electric,Optima,2022,394,177
Bike,PURE EV,eTryst 350,2022,298,81
Car,Hyundai,Kona Electric,2019,81,101
Bike,Revolt Motors,RV400,2023,457,112
Scooter,Ather,450X,2023,473,180
Car,Tata Motors,Nexon EV,2021,360,167
Car,MG,ZS EV,2021,276,152
Bike,Tork Motors,Kratos,2023,349,114
Scooter,Ola Electric,S1 Pro,2022,286,61
Bike,Oben Electric,Rorr,2019,434,106
Bike,Revolt Motors,RV400,2020,219,161
Scooter,Ather,450X,2020,327,68
Scooter,Ather,450X,2022,97,119
Bike,Tork Motors,Kratos,2023,445,171
Car,Hyundai,Kona Electric,2019,104,88
Car,Mahindra,eVerito,2019,440,139
Scooter,Ola Electric,S1 Pro,2020,424,79
Scooter,Bajaj,Chetak,2020,478,119
Bike,Oben Electric,Rorr,2020,344,135
Bike,Revolt Motors,RV400,2019,500,81
Scooter,Ola Electric,S1 Pro,2019,271,131
Bike,Tork Motors,Kratos,2019,462,177
Scooter,Ather,450X,2023,284,69
Car,BYD,Atto 3,2019,388,118
Car,MG,ZS EV,2023,357,72
Bike,Revolt Motors,RV400,2021,371,149
Car,MG,ZS EV,2019,281,161
Car,MG,ZS EV,2020,133,128
Scooter,TVS,iQube,2019,455,98
Car,Hyundai,Kona Electric,2022,205,102
Bike,Tork Motors,Kratos,2022,367,122
Car,Mahindra,eVerito,2019,464,134
Bike,Tork Motors,Kratos,2022,477,76
Bike,Revolt Motors,RV400,2022,310,65
Car,Tata Motors,Nexon EV,2023,240,117
Car,BYD,Atto 3,2019,445,170
Car,Tata Motors,Nexon EV,2019,273,70
Scooter,Ather,450X,2023,263,111
Bike,Revolt Motors,RV400,2021,268,60
Bike,Tork Motors,Kratos,2023,414,160
Scooter,Bajaj,Chetak,2021,449,62
Bike,Ultraviolette,F77,2019,491,70
Car,BYD,Atto 3,2019,132,109
Scooter,TVS,iQube,2021,417,166
Car,MG,ZS EV,2021,410,138
Car,MG,ZS EV,2023,256,96
Scooter,Bajaj,Chetak,2020,179,152
Car,Mahindra,eVerito,2020,161,71
Car,MG,ZS EV,2021,456,77
Scooter,Ather,450X,2023,374,133
Scooter,TVS,iQube,2019,291,60
Car,Mahindra,eVerito,2023,496,135
Bike,Tork Motors,Kratos,2022,498,126
Car,Mahindra,eVerito,2021,116,80
Bike,Tork Motors,Kratos,2019,216,106
Bike,Revolt Motors,RV400,2020,443,116
Car,Hyundai,Kona Electric,2020,267,163
Bike,PURE EV,eTryst 350,2021,166,114
Scooter,Bajaj,Chetak,2023,78,162
Bike,PURE EV,eTryst 350,2023,392,180
Car,Mahindra,eVerito,2022,286,148
Car,Mahindra,eVerito,2021,492,158
Car,Tata Motors,Nexon EV,2023,297,120
Scooter,TVS,iQube,2021,371,126
Bike,Oben Electric,Rorr,2022,133,147
Car,Hyundai,Kona Electric,2023,336,145
Scooter,Hero Electric,Optima,2022,204,160
Bike,Revolt Motors,RV400,2021,271,97
Scooter,Hero Electric,Optima,2019,299,89
Car,Tata Motors,Nexon EV,2023,440,89
Scooter,Hero Electric,Optima,2020,86,137
Scooter,Hero Electric,Optima,2020,316,150
Scooter,Hero Electric,Optima,2020,294,176
Scooter,Ola Electric,S1 Pro,2019,374,174
Car,Mahindra,eVerito,2020,218,175
Scooter,Ather,450X,2020,176,96
Car,MG,ZS EV,2021,149,108
Car,BYD,Atto 3,2023,283,169
Scooter,TVS,iQube,2022,126,150
Bike,Ultraviolette,F77,2023,446,88
Bike,Tork Motors,Kratos,2023,480,163
Car,Mahindra,eVerito,2023,278,179
Bike,PURE EV,eTryst 350,2019,241,80
Car,Mahindra,eVerito,2021,352,108
Bike,Revolt Motors,RV400,2021,427,112
Car,MG,ZS EV,2021,288,170
Bike,Oben Electric,Rorr,2022,155,69
Bike,Ultraviolette,F77,2020,99,169
Bike,Tork Motors,Kratos,2021,500,158
Scooter,Bajaj,Chetak,2021,260,147
Car,BYD,Atto 3,2019,222,166
Bike,Tork Motors,Kratos,2022,262,126
Scooter,TVS,iQube,2023,231,93
Bike,Revolt Motors,RV400,2023,236,109
Car,Tata Motors,Nexon EV,2022,110,141
Scooter,Hero Electric,Optima,2019,288,66
Car,Tata Motors,Nexon EV,2019,373,169
Scooter,Ather,450X,2020,206,110
Bike,Tork Motors,Kratos,2020,116,65
Bike,PURE EV,eTryst 350,2023,219,106
Scooter,Ather,450X,2021,251,157
Car,Mahindra,eVerito,2020,106,94
Scooter,Ola Electric,S1 Pro,2020,272,101
Bike,Revolt Motors,RV400,2020,473,129
Scooter,Ather,450X,2020,258,125
Scooter,Bajaj,Chetak,2021,157,171
Car,BYD,Atto 3,2019,282,112
Car,Mahindra,eVerito,2021,398,131
Bike,Oben Electric,Rorr,2022,443,159
Bike,PURE EV,eTryst 350,2023,365,77
Bike,Ultraviolette,F77,2019,77,145
Bike,Oben Electric,Rorr,2022,355,132
Car,Hyundai,Kona Electric,2020,455,121
Car,Tata Motors,Nexon EV,2023,93,157
Scooter,Hero Electric,Optima,2020,380,69
Bike,Revolt Motors,RV400,2022,346,100
Scooter,TVS,iQube,2023,448,177
Bike,Oben Electric,Rorr,2023,128,179
Bike,Oben Electric,Rorr,2020,324,151
Scooter,Hero Electric,Optima,2020,82,163
Car,BYD,Atto 3,2019,292,78
Bike,Oben Electric,Rorr,2023,348,92
Scooter,Hero Electric,Optima,2023,125,64
Car,BYD,Atto 3,2020,341,141
Bike,Tork Motors,Kratos,2019,218,120
Bike,Oben Electric,Rorr,2022,189,91
Scooter,Bajaj,Chetak,2022,190,94
Scooter,TVS,iQube,2023,160,92
Bike,Revolt Motors,RV400,2021,492,143
Car,MG,ZS EV,2021,257,109
Scooter,Ather,450X,2019,427,117
Scooter,TVS,iQube,2022,388,60
Car,BYD,Atto 3,2021,173,104
Car,Mahindra,eVerito,2023,253,155
Scooter,TVS,iQube,2019,282,153
Scooter,TVS,iQube,2020,229,171
Bike,Oben Electric,Rorr,2021,171,131
Bike,Oben Electric,Rorr,2021,286,122
Car,MG,ZS EV,2022,204,66
Car,Tata Motors,Nexon EV,2019,111,75
Scooter,Hero Electric,Optima,2022,500,151
Bike,Ultraviolette,F77,2022,279,127
Scooter,Ather,450X,2020,476,125
Bike,PURE EV,eTryst 350,2022,114,105
Car,Hyundai,Kona Electric,2022,318,173
Bike,Tork Motors,Kratos,2022,159,175
Scooter,Bajaj,Chetak,2019,491,127
Scooter,Ola Electric,S1 Pro,2023,245,140
Bike,PURE EV,eTryst 350,2022,159,93
Bike,Tork Motors,Kratos,2019,448,169
Car,Mahindra,eVerito,2021,342,99
Car,BYD,Atto 3,2022,140,136
Car,Hyundai,Kona Electric,2020,217,71
Scooter,Hero Electric,Optima,2019,171,178
Car,Tata Motors,Nexon EV,2020,329,162
Scooter,Bajaj,Chetak,2020,342,82
Bike,Tork Motors,Kratos,2020,258,130
Bike,Ultraviolette,F77,2020,224,83
Car,MG,ZS EV,2019,416,180
Scooter,TVS,iQube,2023,304,163
Car,MG,ZS EV,2019,92,116
Car,Tata Motors,Nexon EV,2022,212,142
Scooter,Hero Electric,Optima,2023,324,97
Scooter,Ola Electric,S1 Pro,2019,338,74
Bike,Revolt Motors,RV400,2022,480,107
Bike,Tork Motors,Kratos,2023,429,92
Scooter,Hero Electric,Optima,2023,215,129
Scooter,Ather,450X,2021,274,121
Bike,Oben Electric,Rorr,2023,325,79
Car,Tata Motors,Nexon EV,2019,86,85
Bike,Revolt Motors,RV400,2019,283,78
Car,Mahindra,eVerito,2019,414,131
Scooter,Ola Electric,S1 Pro,2021,362,86
Bike,Revolt Motors,RV400,2022,129,95
Scooter,TVS,iQube,2021,239,102
Scooter,Bajaj,Chetak,2022,282,178
Scooter,Hero Electric,Optima,2021,399,162
Scooter,Hero Electric,Optima,2021,291,112
Car,Tata Motors,Nexon EV,2019,452,83
Scooter,TVS,iQube,2021,362,135
Scooter,Hero Electric,Optima,2020,426,96
Scooter,Hero Electric,Optima,2021,470,180
Bike,Tork Motors,Kratos,2022,334,64
Bike,PURE EV,eTryst 350,2022,145,147
Car,Tata Motors,Nexon EV,2020,420,156
Bike,Tork Motors,Kratos,2023,275,135
Car,Tata Motors,Nexon EV,2020,265,124
Scooter,Ola Electric,S1 Pro,2020,164,137
Scooter,Hero Electric,Optima,2019,189,171
Car,BYD,Atto 3,2019,468,160
Scooter,Ather,450X,2023,455,125
Bike,Revolt Motors,RV400,2021,108,105
Bike,Tork Motors,Kratos,2023,335,104
Bike,Tork Motors,Kratos,2022,431,92
Scooter,Bajaj,Chetak,2022,133,86
Bike,Oben Electric,Rorr,2021,210,117
Scooter,Ather,450X,2020,292,112
Car,Tata Motors,Nexon EV,2019,88,165
Bike,Tork Motors,Kratos,2023,331,147
Car,Hyundai,Kona Electric,2022,166,63
Bike,Revolt Motors,RV400,2021,492,154
Car,BYD,Atto 3,2023,413,76
Scooter,Bajaj,Chetak,2023,371,85
Car,Tata Motors,Nexon EV,2021,436,119
Car,MG,ZS EV,2021,453,89
Car,BYD,Atto 3,2022,241,145
Bike,Oben Electric,Rorr,2021,118,166
Scooter,TVS,iQube,2019,411,153
Bike,Oben Electric,Rorr,2023,429,86
Car,MG,ZS EV,2023,110,92
Bike,Oben Electric,Rorr,2019,446,165
Car,BYD,Atto 3,2022,77,98
Bike,Oben Electric,Rorr,2021,100,87
Bike,Revolt Motors,RV400,2020,112,160
Car,Tata Motors,Nexon EV,2019,183,94
Car,Mahindra,eVerito,2020,218,178
Scooter,TVS,iQube,2021,123,78
Car,Hyundai,Kona Electric,2020,419,139
Scooter,Bajaj,Chetak,2021,374,164
Scooter,Ola Electric,S1 Pro,2019,358,122
Car,Mahindra,eVerito,2019,349,161
Car,Mahindra,eVerito,2023,168,106
Bike,PURE EV,eTryst 350,2019,202,110
Scooter,Ather,450X,2023,446,117
Scooter,Hero Electric,Optima,2019,473,78
Scooter,TVS,iQube,2022,314,180
Bike,PURE EV,eTryst 350,2020,325,96
Scooter,Bajaj,Chetak,2022,307,100
Bike,PURE EV,eTryst 350,2022,419,64
Bike,PURE EV,eTryst 350,2021,358,174
Scooter,Bajaj,Chetak,2020,433,71
Bike,Ultraviolette,F77,2023,382,95
Bike,Tork Motors,Kratos,2022,371,78
Car,Hyundai,Kona Electric,2023,164,63
Scooter,Ola Electric,S1 Pro,2019,295,88
Bike,Oben Electric,Rorr,2021,321,175
Car,MG,ZS EV,2020,443,164
Scooter,Ola Electric,S1 Pro,2022,461,111
Bike,Revolt Motors,RV400,2021,226,129
Car,Mahindra,eVerito,2019,435,164
Bike,Revolt Motors,RV400,2021,426,168
Scooter,Bajaj,Chetak,2022,204,68
Car,Tata Motors,Nexon EV,2019,116,103
Scooter,Bajaj,Chetak,2019,298,88
Car,MG,ZS EV,2019,434,160
Car,Hyundai,Kona Electric,2020,389,127
Scooter,Ather,450X,2023,425,96
Bike,Ultraviolette,F77,2020,285,65
Car,Hyundai,Kona Electric,2023,189,113
Car,Tata Motors,Nexon EV,2020,407,110
Bike,Ultraviolette,F77,2023,414,97
Scooter,Ola Electric,S1 Pro,2022,496,76
Scooter,TVS,iQube,2023,246,139
Bike,Tork Motors,Kratos,2021,410,61
Scooter,Ather,450X,2021,199,153
Scooter,Bajaj,Chetak,2020,409,143
Bike,Tork Motors,Kratos,2021,258,114
Car,Hyundai,Kona Electric,2019,433,105
Car,MG,ZS EV,2022,367,113
Bike,PURE EV,eTryst 350,2020,290,161
Bike,Oben Electric,Rorr,2023,195,72
